case_id,arch,anchored,pose,noise,seed,gt_x,gt_y,pred_x,pred_y,err_px,success_1px,gt_rotation_deg,gt_scale,theta_err_deg,scale_err,confidence,low_confidence_flag,ncc_peak,psr,n_tied,tie_break_used,uniqueness_score,theta_est,scale_est,subpixel_error,subpixel_method,mode_used,failure_mode,elapsed_ms,wall_ms,error
dram_anchored_pose-none_0000,dram,anchored,none,none,20260807,531.8194732184453,446.266375344203,893.570000000298,541.4499999992549,374.0633182088585,0,0.0,10.0,0.0,0.0,0.0,1,0.9527395367622375,0.0,30,False,0.0,0.0,10.0,0.3455241918563843,phase_cross_correlation,fast,none,57.7530000009574,57.75512500258628,
dram_anchored_pose-none_0001,dram,anchored,none,none,20260808,127.76712372639233,709.0552582342465,296.3999999985099,821.429999999702,202.64532944694312,0,0.0,10.0,0.0,0.0,0.0,1,0.9471932053565979,0.0,30,False,0.0,0.0,10.0,0.43012893199920654,phase_cross_correlation,fast,none,35.12179200333776,35.12354099802906,
dram_anchored_pose-none_0002,dram,anchored,none,none,20260809,863.977595873166,497.1548480905214,65.35999999940395,938.5,912.4558112879704,0,0.0,10.0,0.0,0.0,0.0,1,0.9351787567138672,0.0,30,False,0.0,0.0,10.0,0.5108935832977295,phase_cross_correlation,fast,none,59.57900000066729,59.580207998806145,
dram_anchored_pose-small_0003,dram,anchored,small,none,20260810,232.30283693616374,735.8943485344015,232.29999999701977,735.8799999952316,0.014626305070522953,1,-1.1205842319537984,10.079887241419875,1.1205842319537984,-0.07988724141987547,0.0,1,0.8898981809616089,0.0,30,False,0.0,0.0,10.0,0.3112042248249054,phase_cross_correlation,fast,none,33.664750000752974,33.66625000489876,
dram_anchored_pose-small_0004,dram,anchored,small,none,20260811,503.2374112348993,564.0522106451305,503.24000000953674,564.0600000023842,0.00820827878118673,1,-1.3309460480007038,9.91698436800044,1.3309460480007038,0.08301563199955986,0.0,1,0.851007342338562,0.0,30,False,0.0,0.0,10.0,0.346775084733963,phase_cross_correlation,fast,none,33.703833003528416,33.70537500450155,
dram_anchored_pose-small_0005,dram,anchored,small,none,20260812,422.20287789003095,118.34057487532613,469.57999999821186,170.42999999970198,70.41235622418442,0,-2.7107194921373687,10.175075702731695,2.7107194921373687,-0.1750757027316947,0.0,1,0.664775550365448,0.0,30,False,0.0,0.0,10.0,0.5244293212890625,phase_cross_correlation,fast,none,33.56312500545755,33.56454199820291,
dram_anchored_pose-large_0006,dram,anchored,large,none,20260813,821.7779692935673,101.14051615067632,817.94,81.87,19.64898982166364,0,7.392294543197716,9.861770006699144,-7.392294543197716,0.13822999330085572,0.0,1,0.177256241440773,0.0,30,False,0.0,0.0,10.0,0.8182223005569378,surface_upsampling,fast,none,36.177666996081825,36.1791249961243,
dram_anchored_pose-large_0007,dram,anchored,large,none,20260814,854.319586593567,362.40657271093875,854.2999999970198,362.47000000067055,0.06638264718303154,1,4.293208041078433,9.617674782303544,-4.293208041078433,0.3823252176964562,0.0,1,0.425197035074234,0.0,30,False,0.0,0.0,10.0,0.6327639818191528,phase_cross_correlation,fast,none,33.147458001622,33.148624999739695,
dram_anchored_pose-large_0008,dram,anchored,large,none,20260815,90.42185399845333,906.634407067932,90.4400000013411,906.6599999964237,0.03137316384405781,1,0.42845451020630776,10.15559170787136,-0.42845451020630776,-0.15559170787135912,0.0,1,0.9126880764961243,0.0,30,False,0.0,0.0,10.0,0.31042948365211487,phase_cross_correlation,fast,none,33.50220800348325,33.504125000035856,
dram_unanchored_pose-none_0009,dram,unanchored,none,none,20260816,533.321272010387,472.6861558680793,587.25,256.6599999964237,222.65580550091772,0,0.0,10.0,0.0,0.0,0.0,1,0.9637406468391418,0.0,30,False,0.0,0.0,10.0,0.23876802623271942,phase_cross_correlation,fast,none,34.12920799746644,34.13058300066041,
