case_id,arch,anchored,pose,noise,seed,gt_x,gt_y,pred_x,pred_y,err_px,success_1px,gt_rotation_deg,gt_scale,theta_err_deg,scale_err,confidence,low_confidence_flag,ncc_peak,psr,n_tied,tie_break_used,uniqueness_score,theta_est,scale_est,subpixel_error,subpixel_method,mode_used,failure_mode,elapsed_ms,wall_ms,error
dram_anchored_pose-stress_0000,dram,anchored,stress,low,20260815,89.40303114769388,907.6459073881279,89.38000000268221,907.6899999976158,0.04974526964452513,1,0.42845451020630776,10.311183415742718,-0.42845451020630776,-0.31118341574271824,0.06537234016022828,1,0.8749803900718689,2.6799020209318716,1,False,0.29692960126022994,0.0,10.0,0.2532012462615967,phase_cross_correlation,ambiguous,none,604.5539999904577,604.6684000175446,
dram_anchored_pose-stress_0001,dram,anchored,stress,low,20260816,533.6387233519556,472.42593721675127,533.6999999880791,472.48000000044703,0.08171664894954556,1,-5.798460971350002,10.601768368459968,5.798460971350002,-0.6017683684599682,0.04634152645178336,1,0.2568306028842926,1.9514656911116244,1,False,0.2921224349575043,0.0,10.0,0.7145679593086243,phase_cross_correlation,ambiguous,none,605.5111000023317,605.6157000130042,
dram_anchored_pose-stress_0002,dram,anchored,stress,low,20260817,155.51022192249192,696.5808368166428,845.0399999991059,44.92000000178814,948.7429373084266,0,-4.76349935610909,10.455478802165157,-0.8615006438909099,-0.4554788021651568,0.05837529140881479,1,0.8050650954246521,2.4385718226382602,1,False,0.2931947022877038,-5.625,10.0,0.3841235339641571,phase_cross_correlation,ambiguous,none,609.6815999771934,609.7923000052106,
dram_anchored_pose-stress_0003,dram,anchored,stress,low,20260818,140.8094894100075,277.8985400633588,140.81999999284744,277.89000000059605,0.013542711088504633,1,-1.595412391016195,9.910073201660625,-1.217087608983805,0.08992679833937522,0.07548729665463925,1,0.9406663775444031,2.989395188723621,1,False,0.28638107821680603,-2.8125,10.0,0.188847154378891,phase_cross_correlation,ambiguous,none,601.43509999034,601.8254999944475,
dram_anchored_pose-stress_0004,dram,anchored,stress,medium,20260819,683.9321053731547,750.9230508769009,683.9099999964237,750.9300000071526,0.02317192464329994,1,2.4370609359767244,9.738581554191303,-1.0308109359767244,0.26141844580869744,0.07265200619410438,1,0.9194039106369019,2.906704222347591,1,False,0.28779694305229186,1.40625,10.0,0.20595255494117737,phase_cross_correlation,ambiguous,none,612.0203000027686,612.4417999817524,
dram_anchored_pose-stress_0005,dram,anchored,stress,medium,20260820,165.24109508328348,302.2138065130689,165.24000000953674,302.2600000053644,0.04620647050973076,1,-2.6762700829810306,9.193016219434778,2.6762700829810306,0.806983780565222,0.047510859537935046,1,0.3634096086025238,2.003759201831398,1,False,0.3006793214135468,0.0,10.0,0.6512287259101868,phase_cross_correlation,ambiguous,none,599.7416999889538,600.1423999841791,
dram_anchored_pose-stress_0006,dram,anchored,stress,medium,20260821,547.8880523078732,591.173659668318,547.9000000059605,591.1800000071526,0.013525804453774503,1,-6.194829764264595,10.568797660661692,-0.8364202357354049,-0.5687976606616925,0.05667081281072196,1,0.666222870349884,2.3756880123995843,1,False,0.2960035709080845,-7.03125,10.0,0.4202633798122406,phase_cross_correlation,ambiguous,none,598.8722000038251,598.9814000204206,
dram_anchored_pose-stress_0007,dram,anchored,stress,medium,20260822,297.59937972960563,171.03664398091797,297.60999999940395,171.0900000333786,0.054402743173212725,1,1.0415378145780263,9.393983814757703,-1.0415378145780263,0.6060161852422965,0.05557368803804197,1,0.6305385828018188,2.3342643733201065,1,False,0.3010837091599405,0.0,10.0,0.4449318051338196,phase_cross_correlation,ambiguous,none,609.7057999868412,609.8150000034366,
dram_anchored_pose-stress_0008,dram,anchored,stress,high,20260823,886.502820291565,228.41280645966924,886.5,228.40999999642372,0.003978728497868436,1,-7.340117324645227,9.350321885672361,7.340117324645227,0.6496781143276387,0.04577166945182621,1,0.16776373982429504,1.9255246915943056,1,False,0.30384257226753236,0.0,10.0,0.7704563736915588,phase_cross_correlation,ambiguous,none,606.3292999751866,606.4345999911893,
dram_anchored_pose-stress_0009,dram,anchored,stress,high,20260824,93.40230473981053,126.56876744417895,93.42999999970198,126.70000000298023,0.13412312220489006,1,5.977897244993629,9.608999590314745,-5.977897244993629,0.3910004096852546,0.05029199116713473,1,0.4256463050842285,2.1233825297450237,1,False,0.317862749920845,0.0,10.0,0.6254242658615112,phase_cross_correlation,ambiguous,none,598.897499992745,599.3806000042241,
