case_id,arch,anchored,pose,noise,seed,gt_x,gt_y,pred_x,pred_y,err_px,success_1px,gt_rotation_deg,gt_scale,theta_err_deg,scale_err,confidence,low_confidence_flag,ncc_peak,psr,n_tied,tie_break_used,uniqueness_score,theta_est,scale_est,subpixel_error,subpixel_method,mode_used,failure_mode,elapsed_ms,wall_ms,error
dram_anchored_pose-none_0000,dram,anchored,none,low,20260807,531.8194732184453,446.266375344203,531.8199999928474,446.27000001072884,0.003662744694089079,1,0.0,10.0,-0.703125,0.0,0.07066324654974311,1,0.9690347909927368,2.8469088471259147,1,False,0.28959959770557286,-0.703125,10.0,0.13044536113739014,phase_cross_correlation,ambiguous,none,407.5868329964578,407.59375000197906,
dram_anchored_pose-none_0001,dram,anchored,none,low,20260808,127.76712372639233,709.0552582342465,127.76999999582767,709.0500000007451,0.005993491922092881,1,0.0,10.0,-0.703125,0.0,0.07006688693708452,1,0.9741601347923279,2.8286753027458476,1,False,0.2865321922979653,-0.703125,10.0,0.12367644906044006,phase_cross_correlation,ambiguous,none,372.0432910049567,372.0496249952703,
dram_anchored_pose-none_0002,dram,anchored,none,low,20260809,863.977595873166,497.1548480905214,863.9900000002235,497.1599999964237,0.013431474322829868,1,0.0,10.0,-0.703125,0.0,0.07726720890589406,1,0.9762880802154541,3.0398599356542118,1,False,0.2799857763917148,-0.703125,10.0,0.13316993415355682,phase_cross_correlation,ambiguous,none,366.77849999978207,366.7837499961024,
dram_anchored_pose-none_0003,dram,anchored,none,low,20260810,232.65846231244757,735.5809719729891,232.65999999642372,735.5799999982119,0.0018191225846937854,1,0.0,10.0,0.0,0.0,0.07202128043833199,1,0.9936414361000061,2.887905671946742,1,False,0.2872836761855036,0.0,10.0,0.09314116835594177,phase_cross_correlation,ambiguous,none,368.3945840020897,368.3998749984312,
dram_anchored_pose-none_0004,dram,anchored,none,low,20260811,503.24196628643364,564.1423323810496,503.22999998927116,564.1500000059605,0.014212133532784443,1,0.0,10.0,0.0,0.0,0.06982186010622944,1,0.9822072982788086,2.8211420533951905,1,False,0.2866421432801932,0.0,10.0,0.09535308927297592,phase_cross_correlation,ambiguous,none,366.0694579957635,366.0749170012423,
dram_anchored_pose-none_0005,dram,anchored,none,low,20260812,422.4269067090371,119.43962208882554,160.99000000022352,870.9900000002235,795.7243409172789,0,0.0,10.0,-0.703125,0.0,0.06481011574487625,1,0.9559598565101624,2.6614242098283647,1,False,0.2837525090733767,-0.703125,10.0,0.3350125253200531,phase_cross_correlation,ambiguous,none,380.4170840012375,380.42220799979987,
dram_anchored_pose-none_0006,dram,anchored,none,low,20260813,822.5367760836219,100.19993813258809,822.5399999991059,100.21000000834465,0.010565745349405247,1,0.0,10.0,-1.40625,0.0,0.07069681831854932,1,0.9275140166282654,2.847931062052204,1,False,0.27863331818114223,-1.40625,10.0,0.1997462809085846,phase_cross_correlation,ambiguous,none,400.73470900097163,400.74133400048595,
dram_anchored_pose-none_0007,dram,anchored,none,low,20260814,856.699548287331,361.4823588129435,856.6999999880791,361.4699999988079,0.012367065957789835,1,0.0,10.0,-0.703125,0.0,0.07912658336711689,1,0.9567360281944275,3.0914526112746947,1,False,0.2856851334759593,-0.703125,10.0,0.1325114667415619,phase_cross_correlation,ambiguous,none,375.50562500109663,375.51054199866485,
dram_anchored_pose-none_0008,dram,anchored,none,low,20260815,91.47238092668637,905.5914305352696,91.4699999988079,905.6100000143051,0.018721494844468823,1,0.0,10.0,-0.703125,0.0,0.066260129130101,1,0.9469539523124695,2.7087809142354486,1,False,0.2954676728010774,-0.703125,10.0,0.13205796480178833,phase_cross_correlation,ambiguous,none,379.0558330001659,379.06029100122396,
dram_anchored_pose-none_0009,dram,anchored,none,medium,20260816,533.321272010387,472.6861558680793,533.3199999928474,472.68000000715256,0.006285909032950053,1,0.0,10.0,0.0,0.0,0.0684553980576048,1,0.9910236597061157,2.778676678408664,1,False,0.2920292191892117,0.0,10.0,0.09538464993238449,phase_cross_correlation,ambiguous,none,365.0923330060323,365.097333000449,
dram_anchored_pose-none_0010,dram,anchored,none,medium,20260817,158.01080438142,695.1538958053641,158.00999999046326,695.169999986887,0.016124258349889568,1,0.0,10.0,-2.109375,0.0,0.05811545621959622,1,0.8429123759269714,2.429097908558059,1,False,0.29318632077752055,-2.109375,10.0,0.27384504675865173,phase_cross_correlation,ambiguous,none,405.71329100203,405.7192920008674,
dram_anchored_pose-none_0011,dram,anchored,none,medium,20260818,140.26158646501844,277.5597503670893,140.26000000536442,277.5599999986589,0.0016059794999871383,1,0.0,10.0,-1.40625,0.0,0.07591967836051401,1,0.9351499676704407,3.0017538433795052,1,False,0.2828913253509551,-1.40625,10.0,0.1956864446401596,phase_cross_correlation,ambiguous,none,411.8735000010929,411.87929100124165,
dram_anchored_pose-none_0012,dram,anchored,none,medium,20260819,684.7645661116504,752.0587068180689,684.7700000107288,752.0600000023842,0.005585658857076002,1,0.0,10.0,-1.40625,0.0,0.07312944986342419,1,0.929864227771759,2.9208344891691693,1,False,0.2897477285936624,-1.40625,10.0,0.19196254014968872,phase_cross_correlation,ambiguous,none,407.0333749987185,407.039417004853,
dram_anchored_pose-none_0013,dram,anchored,none,medium,20260820,160.2351067517593,299.2561096088492,160.23999999463558,299.25999999046326,0.006251311458335982,1,0.0,10.0,-0.703125,0.0,0.061617927347935385,1,0.962059497833252,2.553591327164386,1,False,0.29673924076110125,-0.703125,10.0,0.14994388818740845,phase_cross_correlation,ambiguous,none,381.380207996699,381.3860000009299,
dram_anchored_pose-none_0014,dram,anchored,none,medium,20260821,547.4593473261813,590.3574518625045,433.94999999925494,103.97000000067055,499.45683022582904,0,0.0,10.0,-0.703125,0.0,0.06458722494516667,1,0.9548367261886597,2.65405746489873,1,False,0.29261461857771875,-0.703125,10.0,0.31298619508743286,phase_cross_correlation,ambiguous,none,375.3410409990465,375.34791699727066,
dram_anchored_pose-none_0015,dram,anchored,none,medium,20260822,295.38384333105387,167.43571485295203,295.3800000026822,167.42999999970198,0.006886996489185833,1,0.0,10.0,0.0,0.0,0.06457901593959586,1,0.9944629073143005,2.65378569814967,1,False,0.3112306539144218,0.0,10.0,0.09239456802606583,phase_cross_correlation,ambiguous,none,376.3456660017255,376.35137499455595,
