case_id,arch,anchored,pose,noise,seed,gt_x,gt_y,pred_x,pred_y,err_px,success_1px,gt_rotation_deg,gt_scale,theta_err_deg,scale_err,confidence,low_confidence_flag,ncc_peak,psr,n_tied,tie_break_used,uniqueness_score,theta_est,scale_est,subpixel_error,subpixel_method,mode_used,failure_mode,elapsed_ms,wall_ms,error
dram_anchored_pose-stress_0000,dram,anchored,stress,low,20260815,89.40303114769388,907.6459073881279,89.38000000268221,907.6899999976158,0.04974526964452513,1,0.42845451020630776,10.311183415742718,-0.42845451020630776,-0.31118341574271824,0.06537234016022828,1,0.8749803900718689,2.6799020209318716,1,False,0.29692960126022994,0.0,10.0,0.2532012462615967,phase_cross_correlation,ambiguous,none,310.10020000394434,310.2214000246022,
dram_anchored_pose-stress_0001,dram,anchored,stress,low,20260816,533.6387233519556,472.42593721675127,533.6999999880791,472.48000000044703,0.08171664894954556,1,-5.798460971350002,10.601768368459968,5.798460971350002,-0.6017683684599682,0.04634152645178336,1,0.2568306028842926,1.9514656911116244,1,False,0.2921224349575043,0.0,10.0,0.7145679593086243,phase_cross_correlation,ambiguous,none,302.32089999481104,302.4390000209678,
dram_anchored_pose-stress_0002,dram,anchored,stress,low,20260817,155.51022192249192,696.5808368166428,155.50999999977648,696.5599999986589,0.020837999745293562,1,-4.76349935610909,10.455478802165157,4.76349935610909,-0.4554788021651568,0.04879593906534362,1,0.3616194427013397,2.0598369577592264,1,False,0.2931947022877038,0.0,10.0,0.6244423985481262,phase_cross_correlation,ambiguous,none,320.77320001553744,321.1534000001848,
dram_anchored_pose-stress_0003,dram,anchored,stress,low,20260818,140.8094894100075,277.8985400633588,140.8100000023842,277.8700000047684,0.028544625569782496,1,-1.595412391016195,9.910073201660625,1.595412391016195,0.08992679833937522,0.07278455818401107,1,0.9076347947120667,2.910635747429295,1,False,0.28638107821680603,0.0,10.0,0.2242363542318344,phase_cross_correlation,ambiguous,none,312.15419998625293,312.3044999956619,
dram_anchored_pose-stress_0004,dram,anchored,stress,medium,20260819,683.9321053731547,750.9230508769009,683.9099999964237,750.9300000071526,0.02317192464329994,1,2.4370609359767244,9.738581554191303,-2.4370609359767244,0.26141844580869744,0.0664407943751723,1,0.7934815287590027,2.714613713418998,1,False,0.28779694305229186,0.0,10.0,0.33469855785369873,phase_cross_correlation,ambiguous,none,310.6567999930121,310.8392999856733,
dram_anchored_pose-stress_0005,dram,anchored,stress,medium,20260820,165.24109508328348,302.2138065130689,165.24000000953674,302.2600000053644,0.04620647050973076,1,-2.6762700829810306,9.193016219434778,2.6762700829810306,0.806983780565222,0.047510859537935046,1,0.3634096086025238,2.003759201831398,1,False,0.3006793214135468,0.0,10.0,0.6512287259101868,phase_cross_correlation,ambiguous,none,313.0296999879647,313.2276000105776,
dram_anchored_pose-stress_0006,dram,anchored,stress,medium,20260821,547.8880523078732,591.173659668318,547.7700000107288,591.1599999964237,0.11883994066523416,1,-6.194829764264595,10.568797660661692,6.194829764264595,-0.5687976606616925,0.045716589345655256,1,0.19644871354103088,1.9230010678350813,1,False,0.2960035709080845,0.0,10.0,0.7440449595451355,phase_cross_correlation,ambiguous,none,308.24779998511076,308.4232000110205,
dram_anchored_pose-stress_0007,dram,anchored,stress,medium,20260822,297.59937972960563,171.03664398091797,297.60999999940395,171.0900000333786,0.054402743173212725,1,1.0415378145780263,9.393983814757703,-1.0415378145780263,0.6060161852422965,0.05557368803804197,1,0.6305385828018188,2.3342643733201065,1,False,0.3010837091599405,0.0,10.0,0.4449318051338196,phase_cross_correlation,ambiguous,none,298.24450000887737,298.392500000773,
dram_anchored_pose-stress_0008,dram,anchored,stress,high,20260823,886.502820291565,228.41280645966924,886.5,228.40999999642372,0.003978728497868436,1,-7.340117324645227,9.350321885672361,7.340117324645227,0.6496781143276387,0.04577166945182621,1,0.16776373982429504,1.9255246915943056,1,False,0.30384257226753236,0.0,10.0,0.7704563736915588,phase_cross_correlation,ambiguous,none,297.8378999978304,297.94600000604987,
dram_anchored_pose-stress_0009,dram,anchored,stress,high,20260824,93.40230473981053,126.56876744417895,93.42999999970198,126.70000000298023,0.13412312220489006,1,5.977897244993629,9.608999590314745,-5.977897244993629,0.3910004096852546,0.05029199116713473,1,0.4256463050842285,2.1233825297450237,1,False,0.317862749920845,0.0,10.0,0.6254242658615112,phase_cross_correlation,ambiguous,none,295.4676999943331,295.59510000399314,
